Latitude (decimal degrees):	42.164
Longitude (decimal degrees):	19.648
Elevation (m):	447
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20230103:1110,837.64,24.76,11.41,0.9,0.0
20230103:1210,761.48,22.13,11.61,1.03,0.0
20230103:1310,620.76,16.93,11.41,0.97,0.0
20230103:1410,355.66,9.67,10.85,0.83,0.0
20230103:1510,0.0,0.0,9.98,0.62,0.0
20230103:1610,0.0,0.0,9.27,0.21,0.0
20230103:1710,0.0,0.0,8.7,0.48,0.0
20230103:1810,0.0,0.0,8.08,0.76,0.0
20230103:1910,0.0,0.0,7.68,0.9,0.0
20230103:2010,0.0,0.0,6.36,1.1,0.0
20230103:2110,0.0,0.0,5.34,1.24,0.0
20230103:2210,0.0,0.0,4.93,1.31,0.0
20230103:2310,0.0,0.0,4.61,1.31,0.0
20230104:0010,0.0,0.0,4.16,1.38,0.0
20230104:0110,0.0,0.0,3.62,1.45,0.0
20230104:0210,0.0,0.0,2.57,1.59,0.0
20230104:0310,0.0,0.0,1.76,1.66,0.0
20230104:0410,0.0,0.0,1.25,1.72,0.0
20230104:0510,0.0,0.0,1.0,1.72,0.0
20230104:0610,0.0,0.0,0.58,1.79,0.0
20230104:0710,40.23,8.22,1.45,1.72,0.0
20230104:0810,51.59,15.8,5.31,1.31,0.0
20230104:0910,59.46,21.43,8.76,1.17,0.0
20230104:1010,839.84,24.58,11.05,1.17,0.0
20230104:1110,835.12,24.87,12.08,1.03,0.0
20230104:1210,764.56,22.25,12.52,0.9,0.0
20230104:1310,563.71,17.06,12.57,0.83,0.0
20230104:1410,322.35,9.81,12.15,0.62,0.0
20230104:1510,0.0,0.0,10.9,0.62,0.0
20230104:1610,0.0,0.0,9.56,1.03,0.0
20230104:1710,0.0,0.0,7.57,1.38,0.0
20230104:1810,0.0,0.0,5.98,1.59,0.0
20230104:1910,0.0,0.0,4.97,1.72,0.0
20230104:2010,0.0,0.0,3.73,1.79,0.0
20230104:2110,0.0,0.0,2.57,1.86,0.0
20230104:2210,0.0,0.0,2.16,1.86,0.0
20230104:2310,0.0,0.0,1.75,1.86,0.0
20230105:0010,0.0,0.0,1.43,1.86,0.0
20230105:0110,0.0,0.0,0.88,1.79,0.0
20230105:0210,0.0,0.0,0.34,1.72,0.0
20230105:0310,0.0,0.0,-0.11,1.72,0.0
20230105:0410,0.0,0.0,-0.33,1.66,0.0
20230105:0510,0.0,0.0,-0.61,1.66,0.0
20230105:0610,0.0,0.0,-0.73,1.66,0.0
20230105:0710,33.23,8.24,0.16,1.45,0.0
20230105:0810,53.34,15.85,4.25,0.76,0.0
20230105:0910,58.59,21.5,8.44,0.28,0.0
20230105:1010,852.24,24.68,9.75,0.9,0.0
20230105:1110,841.86,24.98,10.22,1.24,0.0
20230105:1210,689.33,22.39,10.44,1.45,0.0
20230105:1310,449.07,17.2,10.13,1.38,0.0
20230105:1410,218.03,9.96,9.55,1.24,0.0
20230105:1510,0.0,0.0,8.68,0.9,0.0
20230105:1610,0.0,0.0,8.05,0.48,0.0
20230105:1710,0.0,0.0,7.67,0.55,0.0
20230105:1810,0.0,0.0,7.28,0.76,0.0
20230105:1910,0.0,0.0,6.96,0.83,0.0
20230105:2010,0.0,0.0,6.54,0.97,0.0
20230105:2110,0.0,0.0,5.82,1.03,0.0
20230105:2210,0.0,0.0,5.35,1.1,0.0
20230105:2310,0.0,0.0,4.91,1.17,0.0
20230106:0010,0.0,0.0,4.27,1.31,0.0
20230106:0110,0.0,0.0,3.7,1.38,0.0
20230106:0210,0.0,0.0,2.84,1.45,0.0
20230106:0310,0.0,0.0,2.16,1.59,0.0
20230106:0410,0.0,0.0,1.71,1.59,0.0
20230106:0510,0.0,0.0,1.17,1.72,0.0
20230106:0610,0.0,0.0,0.81,1.79,0.0
20230106:0710,34.1,8.28,1.55,1.72,0.0
20230106:0810,49.84,15.9,5.45,1.38,0.0
20230106:0910,58.59,21.58,9.48,1.17,0.0
20230106:1010,836.41,24.78,11.29,1.03,0.0
20230106:1110,838.95,25.11,12.26,1.03,0.0
20230106:1210,770.91,22.53,12.73,1.1,0.0
20230106:1310,628.19,17.35,12.82,0.9,0.0
20230106:1410,381.47,10.11,12.36,0.55,0.0
20230106:1510,0.0,0.0,11.15,0.69,0.0
20230106:1610,0.0,0.0,9.55,1.1,0.0
20230106:1710,0.0,0.0,7.35,1.45,0.0
20230106:1810,0.0,0.0,5.35,1.66,0.0
20230106:1910,0.0,0.0,4.81,1.72,0.0
20230106:2010,0.0,0.0,2.8,1.93,0.0
20230106:2110,0.0,0.0,1.27,2.0,0.0
20230106:2210,0.0,0.0,0.59,2.07,0.0
20230106:2310,0.0,0.0,0.23,2.07,0.0
20230107:0010,0.0,0.0,0.02,2.07,0.0
20230107:0110,0.0,0.0,-0.14,2.07,0.0
20230107:0210,0.0,0.0,-0.23,2.07,0.0
20230107:0310,0.0,0.0,-0.3,2.07,0.0
20230107:0410,0.0,0.0,-0.39,2.07,0.0
20230107:0510,0.0,0.0,-0.46,2.07,0.0
20230107:0610,0.0,0.0,-0.55,2.07,0.0
20230107:0710,30.61,8.32,0.12,1.93,0.0
20230107:0810,49.84,15.96,3.87,1.52,0.0
20230107:0910,60.34,21.67,8.07,1.1,0.0
20230107:1010,873.52,24.89,10.56,0.69,0.0
20230107:1110,870.47,25.24,11.81,0.21,0.0
20230107:1210,781.71,22.67,12.25,0.21,0.0
20230107:1310,645.43,17.51,12.12,0.48,0.0
20230107:1410,402.15,10.27,11.57,0.55,0.0
20230107:1510,0.0,0.0,10.65,0.34,0.0
20230107:1610,0.0,0.0,9.87,0.41,0.0
20230107:1710,0.0,0.0,8.77,0.83,0.0
20230107:1810,0.0,0.0,7.68,1.1,0.0
20230107:1910,0.0,0.0,7.08,1.03,0.0
20230107:2010,0.0,0.0,6.72,1.1,0.0
20230107:2110,0.0,0.0,6.11,1.17,0.0
20230107:2210,0.0,0.0,5.42,1.24,0.0
20230107:2310,0.0,0.0,5.29,1.31,0.0
20230108:0010,0.0,0.0,5.38,1.24,0.0
20230108:0110,0.0,0.0,5.43,1.24,0.0
20230108:0210,0.0,0.0,5.32,1.24,0.0
20230108:0310,0.0,0.0,5.27,1.24,0.0
20230108:0410,0.0,0.0,5.18,1.24,0.0
20230108:0510,0.0,0.0,5.11,1.24,0.0
20230108:0610,0.0,0.0,4.97,1.24,0.0
20230108:0710,31.48,8.36,3.9,1.24,0.0
20230108:0810,50.72,16.03,4.46,0.9,0.0
20230108:0910,60.34,21.76,8.01,0.34,0.0
20230108:1010,861.9,25.01,9.19,0.48,0.0
20230108:1110,858.56,25.38,9.77,0.83,0.0
20230108:1210,784.6,22.82,10.01,0.97,0.0
20230108:1310,636.45,17.67,9.89,0.97,0.0
20230108:1410,403.91,10.43,9.42,0.76,0.0
20230108:1510,1.75,1.66,8.57,0.41,0.0
20230108:1610,0.0,0.0,7.91,0.41,0.0
20230108:1710,0.0,0.0,7.17,0.69,0.0
20230108:1810,0.0,0.0,6.28,0.97,0.0
20230108:1910,0.0,0.0,6.6,0.97,0.0
20230108:2010,0.0,0.0,5.7,1.1,0.0
20230108:2110,0.0,0.0,5.53,1.17,0.0
20230108:2210,0.0,0.0,5.48,1.17,0.0
20230108:2310,0.0,0.0,5.57,1.1,0.0
20230109:0010,0.0,0.0,5.57,1.17,0.0
20230109:0110,0.0,0.0,5.67,1.17,0.0
20230109:0210,0.0,0.0,5.83,1.17,0.0
20230109:0310,0.0,0.0,6.06,1.1,0.0
20230109:0410,0.0,0.0,5.57,1.17,0.0
20230109:0510,0.0,0.0,5.51,1.24,0.0
20230109:0610,0.0,0.0,5.69,1.1,0.0
20230109:0710,11.37,8.41,6.28,0.97,0.0
20230109:0810,57.71,16.1,7.0,0.76,0.0
20230109:0910,77.83,21.86,7.63,0.83,0.0
20230109:1010,147.51,25.13,8.38,1.38,0.0
20230109:1110,70.46,25.52,8.7,1.66,0.0
20230109:1210,87.15,22.98,8.54,2.0,0.0
20230109:1310,48.21,17.83,8.43,1.79,0.0
20230109:1410,114.84,10.6,8.56,2.0,0.0
20230109:1510,0.87,1.83,8.7,2.62,0.0
20230109:1610,0.0,0.0,8.73,3.1,0.0
20230109:1710,0.0,0.0,8.81,3.66,0.0
20230109:1810,0.0,0.0,8.72,3.24,0.0
20230109:1910,0.0,0.0,9.15,4.0,0.0
20230109:2010,0.0,0.0,9.26,3.93,0.0
20230109:2110,0.0,0.0,9.36,4.69,0.0
20230109:2210,0.0,0.0,9.24,4.21,0.0
20230109:2310,0.0,0.0,9.09,3.79,0.0
20230110:0010,0.0,0.0,8.63,3.24,0.0
20230110:0110,0.0,0.0,8.24,1.93,0.0
20230110:0210,0.0,0.0,7.66,1.45,0.0
20230110:0310,0.0,0.0,7.39,1.38,0.0
20230110:0410,0.0,0.0,6.91,1.24,0.0
20230110:0510,0.0,0.0,6.1,1.1,0.0
20230110:0610,0.0,0.0,5.76,1.03,0.0
20230110:0710,16.61,8.47,5.72,0.62,0.0
20230110:0810,62.09,16.19,6.77,0.34,0.0
20230110:0910,133.79,21.97,7.71,0.62,0.0
20230110:1010,146.56,25.26,7.86,0.83,0.0
20230110:1110,170.4,25.67,8.18,0.83,0.0
20230110:1210,241.4,23.15,8.27,1.03,0.0
20230110:1310,184.38,18.0,7.87,0.9,0.0
20230110:1410,425.78,10.77,7.72,0.69,0.0
20230110:1510,3.5,1.99,7.24,0.55,0.0
20230110:1610,0.0,0.0,6.8,0.0,0.0
20230110:1710,0.0,0.0,6.06,0.69,0.0
20230110:1810,0.0,0.0,4.95,1.03,0.0
20230110:1910,0.0,0.0,4.29,1.17,0.0
20230110:2010,0.0,0.0,3.68,1.31,0.0
20230110:2110,0.0,0.0,3.26,1.31,0.0
20230110:2210,0.0,0.0,2.79,1.38,0.0
20230110:2310,0.0,0.0,2.15,1.38,0.0
20230111:0010,0.0,0.0,1.71,1.45,0.0
20230111:0110,0.0,0.0,1.6,1.38,0.0
20230111:0210,0.0,0.0,1.39,1.38,0.0
20230111:0310,0.0,0.0,1.37,1.38,0.0
20230111:0410,0.0,0.0,1.58,1.31,0.0
20230111:0510,0.0,0.0,1.75,1.24,0.0
20230111:0610,0.0,0.0,2.02,1.17,0.0
20230111:0710,53.34,8.54,3.04,1.03,0.0
20230111:0810,72.58,16.27,4.58,0.9,0.0
20230111:0910,69.96,22.08,6.17,0.9,0.0
20230111:1010,204.74,25.4,7.23,1.1,0.0
20230111:1110,167.04,25.83,7.7,1.38,0.0
20230111:1210,192.72,23.32,7.99,1.45,0.0
20230111:1310,639.52,18.18,8.06,1.38,0.0
20230111:1410,387.0,10.95,7.91,1.24,0.0
20230111:1510,2.62,2.17,7.24,1.17,0.0
20230111:1610,0.0,0.0,5.69,1.31,0.0
20230111:1710,0.0,0.0,4.12,1.45,0.0
20230111:1810,0.0,0.0,3.11,1.59,0.0
20230111:1910,0.0,0.0,2.85,1.52,0.0
20230111:2010,0.0,0.0,2.47,1.52,0.0
20230111:2110,0.0,0.0,2.43,1.45,0.0
20230111:2210,0.0,0.0,2.08,1.45,0.0
20230111:2310,0.0,0.0,1.79,1.45,0.0
20230112:0010,0.0,0.0,1.26,1.52,0.0
20230112:0110,0.0,0.0,0.2,1.66,0.0
20230112:0210,0.0,0.0,-0.42,1.79,0.0
20230112:0310,0.0,0.0,-0.78,1.79,0.0
20230112:0410,0.0,0.0,-1.07,1.79,0.0
20230112:0510,0.0,0.0,-1.12,1.86,0.0
20230112:0610,0.0,0.0,-1.39,1.93,0.0
20230112:0710,33.23,8.61,-0.56,1.72,0.0
20230112:0810,52.47,16.37,2.87,1.45,0.0
20230112:0910,61.21,22.2,5.61,1.45,0.0
20230112:1010,858.73,25.55,7.18,1.45,0.0
20230112:1110,870.15,26.0,8.29,1.24,0.0
20230112:1210,811.55,23.5,8.7,1.17,0.0
20230112:1310,673.33,18.36,9.09,1.38,0.0
20230112:1410,450.65,11.13,8.76,0.97,0.0
20230112:1510,7.0,2.35,7.91,0.9,0.0
20230112:1610,0.0,0.0,6.48,1.03,0.0
20230112:1710,0.0,0.0,5.09,1.24,0.0
20230112:1810,0.0,0.0,3.62,1.45,0.0
20230112:1910,0.0,0.0,3.72,1.45,0.0
20230112:2010,0.0,0.0,2.92,1.52,0.0
20230112:2110,0.0,0.0,1.9,1.59,0.0
20230112:2210,0.0,0.0,1.24,1.59,0.0
20230112:2310,0.0,0.0,0.6,1.66,0.0
20230113:0010,0.0,0.0,0.03,1.72,0.0
20230113:0110,0.0,0.0,-0.36,1.79,0.0
20230113:0210,0.0,0.0,-0.57,1.79,0.0
20230113:0310,0.0,0.0,-0.93,1.86,0.0
20230113:0410,0.0,0.0,-1.1,1.86,0.0
20230113:0510,0.0,0.0,-1.27,1.86,0.0
20230113:0610,0.0,0.0,-1.48,1.86,0.0
20230113:0710,33.23,8.69,-0.36,1.72,0.0
20230113:0810,51.59,16.47,3.12,1.45,0.0
20230113:0910,59.46,22.33,6.4,1.1,0.0
20230113:1010,875.59,25.7,8.21,0.69,0.0
20230113:1110,867.83,26.17,9.28,0.28,0.0
20230113:1210,803.42,23.68,9.85,0.07,0.0
20230113:1310,672.65,18.55,10.02,0.34,0.0
20230113:1410,438.02,11.31,9.7,0.69,0.0
20230113:1510,7.87,2.53,8.67,0.69,0.0
20230113:1610,0.0,0.0,8.17,0.07,0.0
20230113:1710,0.0,0.0,7.57,0.55,0.0
20230113:1810,0.0,0.0,6.78,0.76,0.0
20230113:1910,0.0,0.0,5.44,1.24,0.0
20230113:2010,0.0,0.0,3.55,1.38,0.0
20230113:2110,0.0,0.0,2.91,1.38,0.0
20230113:2210,0.0,0.0,2.29,1.45,0.0
20230113:2310,0.0,0.0,2.43,1.38,0.0
20230114:0010,0.0,0.0,2.9,1.24,0.0
20230114:0110,0.0,0.0,3.61,1.17,0.0
20230114:0210,0.0,0.0,4.24,1.1,0.0
20230114:0310,0.0,0.0,4.93,1.03,0.0
20230114:0410,0.0,0.0,4.92,0.97,0.0
20230114:0510,0.0,0.0,4.41,1.1,0.0
20230114:0610,0.0,0.0,4.2,1.1,0.0
20230114:0710,51.59,8.77,2.18,1.31,0.0
20230114:0810,95.32,16.58,3.93,0.97,0.0
20230114:0910,137.29,22.46,6.99,0.76,0.0
20230114:1010,258.49,25.86,8.14,0.69,0.0
20230114:1110,222.5,26.35,8.75,0.48,0.0
20230114:1210,432.1,23.87,9.01,0.62,0.0
20230114:1310,118.17,18.74,8.95,0.83,0.0
20230114:1410,274.59,11.5,8.81,0.83,0.0
20230114:1510,6.12,2.71,8.21,0.69,0.0
20230114:1610,0.0,0.0,6.51,1.1,0.0
20230114:1710,0.0,0.0,5.09,1.31,0.0
20230114:1810,0.0,0.0,3.87,1.45,0.0
20230114:1910,0.0,0.0,3.18,1.59,0.0
20230114:2010,0.0,0.0,2.46,1.66,0.0
20230114:2110,0.0,0.0,1.82,1.66,0.0
20230114:2210,0.0,0.0,1.33,1.72,0.0
20230114:2310,0.0,0.0,1.04,1.72,0.0
20230115:0010,0.0,0.0,0.69,1.72,0.0
20230115:0110,0.0,0.0,0.23,1.72,0.0
20230115:0210,0.0,0.0,0.01,1.72,0.0
20230115:0310,0.0,0.0,-0.11,1.72,0.0
20230115:0410,0.0,0.0,-0.45,1.79,0.0
20230115:0510,0.0,0.0,-0.88,1.79,0.0
20230115:0610,0.0,0.0,-1.11,1.72,0.0
20230115:0710,33.23,8.86,0.1,1.59,0.0
20230115:0810,51.59,16.69,3.43,1.31,0.0
20230115:0910,59.46,22.6,6.32,0.97,0.0
20230115:1010,878.83,26.02,7.96,0.21,0.0
20230115:1110,899.26,26.54,8.98,0.69,0.0
20230115:1210,821.84,24.07,9.39,1.1,0.0
20230115:1310,674.36,18.94,9.36,1.31,0.0
20230115:1410,448.35,11.7,8.91,1.24,0.0
20230115:1510,10.49,2.9,8.04,0.83,0.0
20230115:1610,0.0,0.0,7.49,0.34,0.0
20230115:1710,0.0,0.0,6.96,0.55,0.0
20230115:1810,0.0,0.0,6.35,0.76,0.0
20230115:1910,0.0,0.0,6.08,0.83,0.0
20230115:2010,0.0,0.0,5.57,1.03,0.0
20230115:2110,0.0,0.0,4.77,1.1,0.0
20230115:2210,0.0,0.0,4.37,1.17,0.0
20230115:2310,0.0,0.0,4.1,1.24,0.0
20230116:0010,0.0,0.0,4.11,1.24,0.0
20230116:0110,0.0,0.0,4.27,1.24,0.0
20230116:0210,0.0,0.0,4.35,1.24,0.0
20230116:0310,0.0,0.0,3.98,1.31,0.0
20230116:0410,0.0,0.0,3.78,1.31,0.0
20230116:0510,0.0,0.0,3.84,1.31,0.0
20230116:0610,0.0,0.0,3.9,1.31,0.0
20230116:0710,31.48,8.96,4.42,1.31,0.0
20230116:0810,37.6,16.82,5.2,1.31,0.0
20230116:0910,38.48,22.75,6.67,1.17,0.0
20230116:1010,43.57,26.2,7.43,1.52,0.0
20230116:1110,37.08,26.73,7.53,1.59,0.0
20230116:1210,33.38,24.27,7.87,2.0,0.0
20230116:1310,25.96,19.15,7.79,1.93,0.0
20230116:1410,26.89,11.9,7.66,2.41,0.0
20230116:1510,1.75,3.1,7.78,2.55,0.0
20230116:1610,0.0,0.0,7.64,2.62,0.0
20230116:1710,0.0,0.0,7.19,2.34,0.0
20230116:1810,0.0,0.0,7.23,2.41,0.0
20230116:1910,0.0,0.0,7.25,2.21,0.0
20230116:2010,0.0,0.0,7.09,1.79,0.0
20230116:2110,0.0,0.0,7.18,1.93,0.0
20230116:2210,0.0,0.0,7.46,2.14,0.0
20230116:2310,0.0,0.0,7.56,2.41,0.0
20230117:0010,0.0,0.0,7.87,3.03,0.0
20230117:0110,0.0,0.0,8.0,3.17,0.0
20230117:0210,0.0,0.0,8.01,2.55,0.0
20230117:0310,0.0,0.0,7.93,3.17,0.0
20230117:0410,0.0,0.0,8.01,2.62,0.0
20230117:0510,0.0,0.0,7.95,2.48,0.0
20230117:0610,0.0,0.0,8.14,2.9,0.0
20230117:0710,43.72,9.07,8.75,2.55,0.0
20230117:0810,48.97,16.94,9.07,3.31,0.0
20230117:0910,65.58,22.91,9.42,3.31,0.0
20230117:1010,76.95,26.38,9.82,3.17,0.0
20230117:1110,88.08,26.93,9.88,3.86,0.0
20230117:1210,65.82,24.48,9.87,4.55,0.0
20230117:1310,41.72,19.35,9.89,4.48,0.0
20230117:1410,14.83,12.1,9.74,4.9,0.0
20230117:1510,2.62,3.29,9.75,4.83,0.0
20230117:1610,0.0,0.0,9.71,4.48,0.0
20230117:1710,0.0,0.0,9.54,4.21,0.0
20230117:1810,0.0,0.0,9.74,4.83,0.0
20230117:1910,0.0,0.0,9.93,4.9,0.0
20230117:2010,0.0,0.0,10.31,5.24,0.0
20230117:2110,0.0,0.0,10.27,5.66,0.0
20230117:2210,0.0,0.0,10.32,5.24,0.0
20230117:2310,0.0,0.0,10.53,5.45,0.0
20230118:0010,0.0,0.0,10.54,5.45,0.0
20230118:0110,0.0,0.0,10.49,5.45,0.0
20230118:0210,0.0,0.0,10.51,5.38,0.0
20230118:0310,0.0,0.0,10.44,5.45,0.0
20230118:0410,0.0,0.0,10.29,5.31,0.0
20230118:0510,0.0,0.0,10.2,5.38,0.0
20230118:0610,0.0,0.0,10.06,5.45,0.0
20230118:0710,39.35,9.18,10.06,5.38,0.0
20230118:0810,47.22,17.08,10.03,4.83,0.0
20230118:0910,48.1,23.07,10.06,4.83,0.0
20230118:1010,67.68,26.57,10.66,4.28,0.0
20230118:1110,48.21,27.13,10.75,3.59,0.0
20230118:1210,63.04,24.69,11.45,3.72,0.0
20230118:1310,49.14,19.57,10.66,2.76,0.0
20230118:1410,51.92,12.31,10.41,1.52,0.0
20230118:1510,2.62,3.49,10.22,1.72,0.0
20230118:1610,0.0,0.0,10.24,2.48,0.0
20230118:1710,0.0,0.0,10.03,2.28,0.0
20230118:1810,0.0,0.0,9.65,2.0,0.0
20230118:1910,0.0,0.0,9.7,2.9,0.0
20230118:2010,0.0,0.0,9.84,3.72,0.0
20230118:2110,0.0,0.0,9.71,4.28,0.0
20230118:2210,0.0,0.0,9.95,3.93,0.0
20230118:2310,0.0,0.0,9.73,3.72,0.0
20230119:0010,0.0,0.0,9.42,3.45,0.0
20230119:0110,0.0,0.0,9.32,2.83,0.0
20230119:0210,0.0,0.0,9.42,2.76,0.0
20230119:0310,0.0,0.0,9.91,3.72,0.0
20230119:0410,0.0,0.0,9.94,4.41,0.0
20230119:0510,0.0,0.0,10.19,4.76,0.0
20230119:0610,0.0,0.0,9.83,5.24,0.0
20230119:0710,44.6,9.29,9.61,4.34,0.0
20230119:0810,117.18,17.22,9.6,3.66,0.0
20230119:0910,104.94,23.24,9.46,3.38,0.0
20230119:1010,201.52,26.76,9.07,3.03,0.0
20230119:1110,128.87,27.34,8.98,2.0,0.0
20230119:1210,73.24,24.91,8.76,2.0,0.0
20230119:1310,48.21,19.79,8.6,1.59,0.0
20230119:1410,74.68,12.52,8.33,1.1,0.0
20230119:1510,3.5,3.7,7.72,1.17,0.0
20230119:1610,0.0,0.0,7.46,1.52,0.0
20230119:1710,0.0,0.0,7.23,1.52,0.0
20230119:1810,0.0,0.0,7.05,1.59,0.0
20230119:1910,0.0,0.0,6.91,1.24,0.0
20230119:2010,0.0,0.0,6.87,1.59,0.0
20230119:2110,0.0,0.0,6.57,1.93,0.0
20230119:2210,0.0,0.0,5.79,1.38,0.0
20230119:2310,0.0,0.0,5.18,0.69,0.0
20230120:0010,0.0,0.0,4.75,0.69,0.0
20230120:0110,0.0,0.0,4.32,0.9,0.0
20230120:0210,0.0,0.0,3.65,1.1,0.0
20230120:0310,0.0,0.0,3.32,1.03,0.0
20230120:0410,0.0,0.0,3.18,0.76,0.0
20230120:0510,0.0,0.0,3.0,0.9,0.0
20230120:0610,0.0,0.0,2.97,1.1,0.0
20230120:0710,21.86,9.42,3.91,0.76,0.0
20230120:0810,89.19,17.37,4.2,1.03,0.0
20230120:0910,86.57,23.41,4.4,1.52,0.0
20230120:1010,42.65,26.96,5.33,1.66,0.0
20230120:1110,112.18,27.56,6.05,1.66,0.0
20230120:1210,152.46,25.14,6.41,1.72,0.0
20230120:1310,29.67,20.01,5.89,1.79,0.0
20230120:1410,73.65,12.74,4.83,1.45,0.0
20230120:1510,14.87,3.9,4.38,0.76,0.0
20230120:1610,0.0,0.0,3.87,1.1,0.0
20230120:1710,0.0,0.0,3.1,1.1,0.0
20230120:1810,0.0,0.0,2.6,1.45,0.0
20230120:1910,0.0,0.0,2.59,1.59,0.0
20230120:2010,0.0,0.0,2.42,1.79,0.0
20230120:2110,0.0,0.0,2.3,1.86,0.0
20230120:2210,0.0,0.0,2.51,1.93,0.0
20230120:2310,0.0,0.0,2.53,2.07,0.0
20230121:0010,0.0,0.0,2.54,2.14,0.0
20230121:0110,0.0,0.0,2.58,2.21,0.0
20230121:0210,0.0,0.0,2.53,2.34,0.0
20230121:0310,0.0,0.0,2.54,2.34,0.0
20230121:0410,0.0,0.0,2.33,2.21,0.0
20230121:0510,0.0,0.0,2.21,2.14,0.0
20230121:0610,0.0,0.0,2.25,2.28,0.0
20230121:0710,20.11,9.55,3.18,2.21,0.0
20230121:0810,32.35,17.52,4.37,1.86,0.0
20230121:0910,97.06,23.59,5.14,1.72,0.0
20230121:1010,38.01,27.17,5.84,1.45,0.0
20230121:1110,130.72,27.79,6.51,1.52,0.0
20230121:1210,76.02,25.37,6.74,1.59,0.0
20230121:1310,27.81,20.24,6.84,1.52,0.0
20230121:1410,15.76,12.96,6.46,1.79,0.0
20230121:1510,7.87,4.11,5.7,1.59,0.0
20230121:1610,0.0,0.0,5.11,1.31,0.0
20230121:1710,0.0,0.0,4.39,1.17,0.0
20230121:1810,0.0,0.0,3.28,1.1,0.0
20230121:1910,0.0,0.0,2.51,1.31,0.0
20230121:2010,0.0,0.0,2.3,1.17,0.0
20230121:2110,0.0,0.0,2.48,1.17,0.0
20230121:2210,0.0,0.0,3.04,1.17,0.0
20230121:2310,0.0,0.0,2.89,1.24,0.0
20230122:0010,0.0,0.0,2.21,1.24,0.0
20230122:0110,0.0,0.0,1.98,1.45,0.0
20230122:0210,0.0,0.0,2.08,1.52,0.0
20230122:0310,0.0,0.0,1.7,1.38,0.0
20230122:0410,0.0,0.0,1.32,1.38,0.0
